name,coordinate,creation_timestamp
Folsom,"{'latitude': 38.64983, 'longitude': -121.11754}",1567203177
Folsom,"{'latitude': 38.64436, 'longitude': -121.11286}",1567201185
Gold River,"{'latitude': 38.6317, 'longitude': -121.2195}",1567200476
Citrus Heights,"{'latitude': 38.68205, 'longitude': -121.26499}",1567175448
Citrus Heights,"{'latitude': 38.68212, 'longitude': -121.26495}",1567115934
Citrus Heights,"{'latitude': 38.68206, 'longitude': -121.26503}",1567102003
Citrus Heights,"{'latitude': 38.68217, 'longitude': -121.2649}",1567084391
Citrus Heights,"{'latitude': 38.68215, 'longitude': -121.26486}",1567057271
Sacramento,"{'latitude': 38.57713, 'longitude': -121.50531}",1567053733
Sacramento,"{'latitude': 38.58043, 'longitude': -121.50576}",1567049598
Sacramento,"{'latitude': 38.58003, 'longitude': -121.50596}",1567041583
Sacramento,"{'latitude': 38.62197, 'longitude': -121.51805}",1567040710
Sacramento,"{'latitude': 38.64244, 'longitude': -121.4645}",1567040500
Citrus Heights,"{'latitude': 38.68222, 'longitude': -121.26495}",1567027644
Fair Oaks,"{'latitude': 38.67848, 'longitude': -121.26224}",1567027252
Citrus Heights,"{'latitude': 38.67873, 'longitude': -121.26592}",1567027086
Citrus Heights,"{'latitude': 38.68215, 'longitude': -121.2649}",1567017181
Citrus Heights,"{'latitude': 38.68212, 'longitude': -121.26506}",1566937680
Citrus Heights,"{'latitude': 38.67409, 'longitude': -121.2691}",1566932514
Citrus Heights,"{'latitude': 38.67859, 'longitude': -121.26674}",1566930917
Citrus Heights,"{'latitude': 38.67687, 'longitude': -121.27132}",1566926971
Citrus Heights,"{'latitude': 38.68207, 'longitude': -121.2649}",1566913802
Citrus Heights,"{'latitude': 38.6821, 'longitude': -121.26492}",1566885051
Sacramento,"{'latitude': 38.56129, 'longitude': -121.48733}",1566881171
Sacramento,"{'latitude': 38.57993, 'longitude': -121.5059}",1566880153
Sacramento,"{'latitude': 38.58067, 'longitude': -121.50579}",1566868669
Sacramento,"{'latitude': 38.58254, 'longitude': -121.50325}",1566867497
Citrus Heights,"{'latitude': 38.67829, 'longitude': -121.28404}",1566866203
Citrus Heights,"{'latitude': 38.68213, 'longitude': -121.26491}",1566831864
Citrus Heights,"{'latitude': 38.68207, 'longitude': -121.26496}",1566793429
Orangevale,"{'latitude': 38.67865, 'longitude': -121.22521}",1566789356
Folsom,"{'latitude': 38.64955, 'longitude': -121.11777}",1566787568
Folsom,"{'latitude': 38.64677, 'longitude': -121.08965}",1566786971
El Dorado Hills,"{'latitude': 38.64673, 'longitude': -121.06674}",1566785187
Folsom,"{'latitude': 38.64771, 'longitude': -121.1163}",1566783817
Folsom,"{'latitude': 38.64546, 'longitude': -121.11694}",1566783176
Folsom,"{'latitude': 38.64769, 'longitude': -121.08682}",1566782438
El Dorado Hills,"{'latitude': 38.6517, 'longitude': -121.06264}",1566780890
El Dorado Hills,"{'latitude': 38.65893, 'longitude': -121.05453}",1566779449
Folsom,"{'latitude': 38.6781, 'longitude': -121.17675}",1566778093
Orangevale,"{'latitude': 38.67016, 'longitude': -121.20726}",1566777827
Folsom,"{'latitude': 38.69113, 'longitude': -121.12452}",1566775847
Citrus Heights,"{'latitude': 38.68216, 'longitude': -121.26493}",1566769273
Fair Oaks,"{'latitude': 38.67832, 'longitude': -121.26217}",1566764041
Citrus Heights,"{'latitude': 38.67987, 'longitude': -121.27078}",1566763514
Citrus Heights,"{'latitude': 38.69081, 'longitude': -121.29756}",1566761331
Citrus Heights,"{'latitude': 38.68202, 'longitude': -121.265}",1566739722
Citrus Heights,"{'latitude': 38.68211, 'longitude': -121.26497}",1566704778
Citrus Heights,"{'latitude': 38.68412, 'longitude': -121.26272}",1566704422
Orangevale,"{'latitude': 38.67878, 'longitude': -121.2526}",1566704311
Orangevale,"{'latitude': 38.67858, 'longitude': -121.22477}",1566704167
Folsom,"{'latitude': 38.70526, 'longitude': -121.16956}",1566703721
Folsom,"{'latitude': 38.65309, 'longitude': -121.12332}",1566702058
Folsom,"{'latitude': 38.6496, 'longitude': -121.11754}",1566700427
Folsom,"{'latitude': 38.66079, 'longitude': -121.13212}",1566699761
Folsom,"{'latitude': 38.66324, 'longitude': -121.13571}",1566699738
Folsom,"{'latitude': 38.66445, 'longitude': -121.13675}",1566699699
Folsom,"{'latitude': 38.65496, 'longitude': -121.12089}",1566697215
Folsom,"{'latitude': 38.65111, 'longitude': -121.12027}",1566694937
Folsom,"{'latitude': 38.654, 'longitude': -121.12257}",1566694453
Folsom,"{'latitude': 38.65552, 'longitude': -121.1234}",1566692988
Folsom,"{'latitude': 38.67044, 'longitude': -121.16976}",1566680118
Folsom,"{'latitude': 38.64312, 'longitude': -121.19259}",1566679185
Gold River,"{'latitude': 38.61496, 'longitude': -121.25467}",1566678952
Sacramento,"{'latitude': 38.55312, 'longitude': -121.41129}",1566678448
Sacramento,"{'latitude': 38.58, 'longitude': -121.50581}",1566665491
Bombay,"{'latitude': 38.63938, 'longitude': -121.48887}",1566664039
Foothill Farms,"{'latitude': 38.6819, 'longitude': -121.33417}",1566663462
Citrus Heights,"{'latitude': 38.68216, 'longitude': -121.26495}",1566657263
Citrus Heights,"{'latitude': 38.68207, 'longitude': -121.26501}",1566642297
Citrus Heights,"{'latitude': 38.68214, 'longitude': -121.26515}",1566603882
Citrus Heights,"{'latitude': 38.70681, 'longitude': -121.29042}",1566603282
Rocklin,"{'latitude': 38.77295, 'longitude': -121.24396}",1566602706
Penryn,"{'latitude': 38.83501, 'longitude': -121.16761}",1566602410
North Auburn,"{'latitude': 38.93808, 'longitude': -121.10978}",1566600734
North Auburn,"{'latitude': 38.92942, 'longitude': -121.08824}",1566597663
Auburn,"{'latitude': 38.90329, 'longitude': -121.0761}",1566597404
Newcastle,"{'latitude': 38.85908, 'longitude': -121.13801}",1566597056
Loomis,"{'latitude': 38.82307, 'longitude': -121.18126}",1566596855
Rocklin,"{'latitude': 38.79064, 'longitude': -121.2198}",1566596591
Citrus Heights,"{'latitude': 38.67846, 'longitude': -121.27077}",1566592944
Citrus Heights,"{'latitude': 38.68202, 'longitude': -121.26505}",1566571416
Citrus Heights,"{'latitude': 38.68215, 'longitude': -121.26497}",1566536872
Fair Oaks,"{'latitude': 38.66374, 'longitude': -121.22562}",1566536009
Folsom,"{'latitude': 38.64553, 'longitude': -121.1151}",1566532080
Folsom,"{'latitude': 38.65462, 'longitude': -121.12025}",1566530091
Folsom,"{'latitude': 38.64743, 'longitude': -121.11499}",1566529831
Cameron Park,"{'latitude': 38.65892, 'longitude': -120.97437}",1566526643
El Dorado Hills,"{'latitude': 38.71085, 'longitude': -121.08631}",1566525010
Folsom,"{'latitude': 38.6912, 'longitude': -121.12566}",1566524001
Folsom,"{'latitude': 38.68433, 'longitude': -121.17978}",1566522269
Citrus Heights,"{'latitude': 38.68411, 'longitude': -121.26281}",1566521556
Citrus Heights,"{'latitude': 38.68205, 'longitude': -121.26497}",1566488007
Citrus Heights,"{'latitude': 38.68212, 'longitude': -121.26493}",1566471739
Citrus Heights,"{'latitude': 38.6821, 'longitude': -121.26498}",1566458726
Folsom,"{'latitude': 38.67028, 'longitude': -121.16942}",1566450488
Folsom,"{'latitude': 38.64252, 'longitude': -121.19341}",1566450152
Natoma,"{'latitude': 38.63552, 'longitude': -121.20786}",1566450044
Natoma,"{'latitude': 38.6307, 'longitude': -121.21704}",1566450014
Sacramento,"{'latitude': 38.55471, 'longitude': -121.40426}",1566449361
Sacramento,"{'latitude': 38.5599, 'longitude': -121.46689}",1566449176
Sacramento,"{'latitude': 38.58056, 'longitude': -121.50569}",1566435924
Sacramento,"{'latitude': 38.58399, 'longitude': -121.50171}",1566435845
Sacramento,"{'latitude': 38.60923, 'longitude': -121.51008}",1566435667
